Hva kommer du aldri til å gjøre igjen,0,01.01.2000 kl. 00.00.00,0,0
Hvem er den smarteste personen du har snakket med?,0,01.01.2000 kl. 00.00.00,0,0
Hvem er din helt?,0,01.01.2000 kl. 00.00.00,0,0
Hva er din største frykt?,2,01.01.2000 kl. 00.00.00,0,0.0
Hva er det mest spennende med jobben din?,0,01.01.2000 kl. 00.00.00,0,0
Hvor ville du bodd hvis du kunne bodd hvor som helst i verden?,0,01.01.2000 kl. 00.00.00,0,0
Hva ville du bli når du var barn?,4,01.01.2000 kl. 00.00.00,2,0.5
Har du noensinne hatt et kallenavn?,1,01.01.2000 kl. 00.00.00,1,1.0
Hvor er du fra?,2,01.01.2000 kl. 00.00.00,1,0.5
Hva heter du?,1,07.10.2021 kl. 09.31.37,1,1.0
Hvordan møtte du Nikolai Schirmer?,1,18.11.2021 kl. 09.48.44,1,1.0
Hvem er sangen Strangers skrevet om?,0,18.11.2021 kl. 09.49.29,0,0
Test slett,1,18.11.2021 kl. 14.30.25,0,0.0
Har du noen gang glemt teksten på en av dine egne sanger?,1,18.11.2021 kl. 14.31.04,1,1.0
