Tidsmerke,Hvem vil du stille spørsmål til?,Skriv ditt spørsmål her:
30.09.2021 kl. 12.58.45,Gjest 1,Hvor er du fra?
30.09.2021 kl. 13.00.20,Gjest 3,Hva er din fremtidige plan for livet?
07.10.2021 kl. 09.31.37,Gjest 1,Hva heter du?
,,
,,
,,
,,
,,
11.11.2021 kl. 12.24.02,Gjest 1,Timetest12:24
11.11.2021 kl. 12.25.31,Gjest 1,TimeTest12:25:30
11.11.2021 kl. 12.28.03,Gjest 1,"Test, Test failed?  "
11.11.2021 kl. 14.27.20,Gjest 3,234
11.11.2021 kl. 18.10.42,Gjest 1,newtest
11.11.2021 kl. 18.18.00,Gjest 2,Har du en krone?
